Date,Event_Type,Description,Category,Sport,Opponent,Location,Result,Year,Month,Weekday,Is_Weekend
2024-12-01,BREAK_END,Fall Break End,Academic,,,,,2024,12,Sunday,True
2024-12-02,CLASS_RESUME,Classes resume,Academic,,,,,2024,12,Monday,False
2024-12-03,HOME_GAME,,Sports,BASKETBALL,NORTHWESTERN,"Iowa City, Iowa",W 80-79,2024,12,Tuesday,False
2024-12-12,HOME_GAME,,Sports,BASKETBALL,#3 IOWA STATE,"Iowa City, Iowa",L 80-89,2024,12,Thursday,False
2024-12-13,CLASS_END,Close of Classes,Academic,,,,,2024,12,Friday,False
2024-12-15,HOME_GAME,,Sports,BASKETBALL,NEW ORLEANS,"Iowa City, Iowa",W 104-57,2024,12,Sunday,True
2024-12-16,FINALS_START,Final Examination Week Start,Academic,,,,,2024,12,Monday,False
2024-12-19,COMMENCEMENT_START,Commencement ceremonies Start,Academic,,,,,2024,12,Thursday,False
2024-12-20,FINALS_END,Final Examination Week End,Academic,,,,,2024,12,Friday,False
2024-12-22,COMMENCEMENT_END,Commencement ceremonies End,Academic,,,,,2024,12,Sunday,True
2024-12-23,CLASS_START,Opening of Classes,Academic,,,,,2024,12,Monday,False
2024-12-24,HOLIDAY,"University Holiday, Offices Closed",Academic,,,,,2024,12,Tuesday,False
2024-12-25,HOLIDAY,Federal Holiday - No Classes,Academic,,,,,2024,12,Wednesday,False
2024-12-25,HOLIDAY,"University Holiday, Offices Closed",Academic,,,,,2024,12,Wednesday,False
2024-12-30,HOME_GAME,,Sports,BASKETBALL,NEW HAMPSHIRE,"Iowa City, Iowa",W 112-70,2024,12,Monday,False
2025-01-01,HOLIDAY,Federal Holiday - No Classes,Academic,,,,,2025,1,Wednesday,False
2025-01-01,HOLIDAY,University Holiday--No Classes; Offices Closed,Academic,,,,,2025,1,Wednesday,False
2025-01-07,HOME_GAME,,Sports,BASKETBALL,NEBRASKA,"Iowa City, Iowa",W 97-87,2025,1,Tuesday,False
2025-01-11,HOME_GAME,,Sports,BASKETBALL,INDIANA,"Iowa City, Iowa",W 85-60,2025,1,Saturday,True
2025-01-17,CLASS_END,Close of Classes,Academic,,,,,2025,1,Friday,False
2025-01-17,HOME_MATCH,,Sports,WRESTLING,#9 ILLINOIS,"Iowa City, Iowa",W 28-6,2025,1,Friday,False
2025-01-20,HOLIDAY,"Martin Luther King, Jr. Convocation--All Classes Suspended; Offices Closed",Academic,,,,,2025,1,Monday,False
2025-01-21,CLASS_START,Opening of Classes,Academic,,,,,2025,1,Tuesday,False
2025-01-21,HOME_GAME,,Sports,BASKETBALL,MINNESOTA,"Iowa City, Iowa",L 67-72,2025,1,Tuesday,False
2025-01-24,HOME_GAME,,Sports,BASKETBALL,PENN STATE,"Iowa City, Iowa",W 76-75,2025,1,Friday,False
2025-01-25,HOME_MATCH,,Sports,WRESTLING,#4 OHIO STATE,"Iowa City, Iowa",W 24-13,2025,1,Saturday,True
2025-02-04,HOME_GAME,,Sports,BASKETBALL,#7 PURDUE,"Iowa City, Iowa",L 81-90,2025,2,Tuesday,False
2025-02-07,HOME_MATCH,,Sports,WRESTLING,#7 NEBRASKA,"Iowa City, Iowa",W 19-16,2025,2,Friday,False
2025-02-08,HOME_GAME,,Sports,BASKETBALL,#21 WISCONSIN,"Iowa City, Iowa",L 63-74,2025,2,Saturday,True
2025-02-16,HOME_MATCH,,Sports,WRESTLING,NORTHWESTERN,"Iowa City, Iowa",W 37-3,2025,2,Sunday,True
2025-02-19,HOME_GAME,,Sports,BASKETBALL,OREGON,"Iowa City, Iowa",L 78-80,2025,2,Wednesday,False
2025-02-22,HOME_GAME,,Sports,BASKETBALL,WASHINGTON,"Iowa City, Iowa",W 85-79,2025,2,Saturday,True
2025-02-23,HOME_MATCH,,Sports,WRESTLING,#2 OKLAHOMA STATE,"Iowa City, Iowa",W 21-16,2025,2,Sunday,True
2025-03-03,HOME_GAME,,Sports,BASEBALL,LORAS,"Iowa City, Iowa",W 11-3,2025,3,Monday,False
2025-03-06,HOME_GAME,,Sports,BASKETBALL,#8 MICHIGAN STATE,"Iowa City, Iowa",L 84-91,2025,3,Thursday,False
2025-03-11,HOME_GAME,,Sports,BASEBALL,AUGUSTANA,"Iowa City, Iowa",W 16-1,2025,3,Tuesday,False
2025-03-14,HOME_GAME,,Sports,BASEBALL,MICHIGAN STATE,"Iowa City, Iowa",W 7-3,2025,3,Friday,False
2025-03-14,HOME_GAME,,Sports,BASEBALL,MICHIGAN STATE,"Iowa City, Iowa",L 8-12,2025,3,Friday,False
2025-03-15,HOME_GAME,,Sports,BASEBALL,MICHIGAN STATE,"Iowa City, Iowa",W 10-0,2025,3,Saturday,True
2025-03-16,BREAK_START,Spring Break Start,Academic,,,,,2025,3,Sunday,True
2025-03-18,HOME_GAME,,Sports,BASEBALL,UIC,"Iowa City, Iowa",W 4-1,2025,3,Tuesday,False
2025-03-21,HOME_GAME,,Sports,BASEBALL,OHIO STATE,"Iowa City, Iowa",W 12-0,2025,3,Friday,False
2025-03-22,HOME_GAME,,Sports,BASEBALL,OHIO STATE,"Iowa City, Iowa",W 12-5,2025,3,Saturday,True
2025-03-23,BREAK_END,Spring Break End,Academic,,,,,2025,3,Sunday,True
2025-03-23,HOME_GAME,,Sports,BASEBALL,OHIO STATE,"Iowa City, Iowa",W 18-2,2025,3,Sunday,True
2025-03-24,CLASS_RESUME,Classes resume,Academic,,,,,2025,3,Monday,False
2025-04-08,HOME_GAME,,Sports,BASEBALL,MILWAUKEE,"Iowa City, Iowa",W 11-6,2025,4,Tuesday,False
