# Iowa Hawkeyes Sports Events (2020-2025)
# Format: DATE | SPORT | OPPONENT | LOCATION | RESULT | EVENT_TYPE

# Baseball 2020-21 Season
2021-03-19 | BASEBALL | NEBRASKA | Iowa City, Iowa | W 3-0 | HOME_GAME
2023-04-21 | BASEBALL | NEBRASKA | Iowa City, IA | W 11-6 | HOME_GAME
2023-04-22 | BASEBALL | NEBRASKA | Iowa City, IA | W 8-0 | HOME_GAME
2023-04-23 | BASEBALL | NEBRASKA | Iowa City, IA | W 6-1 | HOME_GAME
2023-04-25 | BASEBALL | UPPER IOWA | Iowa City, Iowa | W 16-0 | HOME_GAME
2023-05-02 | BASEBALL | ILLINOIS STATE | Iowa City, IA | W 7-4 | HOME_GAME
2023-05-05 | BASEBALL | OHIO STATE | Iowa City, IA | W 16-9 | HOME_GAME
2023-05-06 | BASEBALL | OHIO STATE | Iowa City, IA | W 15-3 | HOME_GAME
2023-05-07 | BASEBALL | OHIO STATE | Iowa City, IA | L 2-5 | HOME_GAME
2023-05-12 | BASEBALL | MICHIGAN STATE | Iowa City, IA | W 9-0 | HOME_GAME
2023-05-13 | BASEBALL | MICHIGAN STATE | Iowa City, IA | W 8-6 | HOME_GAME
2023-05-14 | BASEBALL | MICHIGAN STATE | Iowa City, IA | W 5-1 | HOME_GAME

# Baseball 2023-24 Season
2024-02-20 | BASEBALL | LORAS | Iowa City, Iowa | W 20-6 | HOME_GAME
2024-02-27 | BASEBALL | NORTHERN ILLINOIS | Iowa City, Iowa | W 14-6 | HOME_GAME
2024-03-05 | BASEBALL | ST. THOMAS | Iowa City, Iowa | W 9-3 | HOME_GAME
2024-03-15 | BASEBALL | WESTERN ILLINOIS | Iowa City, Iowa | W 11-1 | HOME_GAME
2024-03-16 | BASEBALL | WESTERN ILLINOIS | Iowa City, Iowa | W 17-7 | HOME_GAME
2024-03-16 | BASEBALL | WESTERN ILLINOIS | Iowa City, Iowa | W 19-9 | HOME_GAME
2024-03-19 | BASEBALL | GRAND VIEW | Iowa City, Iowa | W 25-3 | HOME_GAME
2024-03-29 | BASEBALL | MINNESOTA | Iowa City, Iowa | L 9-16 | HOME_GAME
2024-03-30 | BASEBALL | MINNESOTA | Iowa City, Iowa | W 14-6 | HOME_GAME
2024-03-31 | BASEBALL | MINNESOTA | Iowa City, Iowa | W 10-4 | HOME_GAME
2024-04-05 | BASEBALL | MICHIGAN | Iowa City, Iowa | W 3-2 | HOME_GAME
2024-04-06 | BASEBALL | MICHIGAN | Iowa City, Iowa | L 3-4 | HOME_GAME
2024-04-06 | BASEBALL | MICHIGAN | Iowa City, Iowa | L 6-10 | HOME_GAME
2024-04-10 | BASEBALL | ST. THOMAS | Iowa City, Iowa | W 17-11 | HOME_GAME
2024-04-17 | BASEBALL | BRADLEY | Iowa City, Iowa | W 11-6 | HOME_GAME
2024-04-19 | BASEBALL | RUTGERS | Iowa City, Iowa | W 8-1 | HOME_GAME
2024-04-20 | BASEBALL | RUTGERS | Iowa City, Iowa | W 15-5 | HOME_GAME
2024-04-21 | BASEBALL | RUTGERS | Iowa City, Iowa | W 5-1 | HOME_GAME
2024-04-23 | BASEBALL | MILWAUKEE | Iowa City, Iowa | W 12-6 | HOME_GAME
2024-04-30 | BASEBALL | ILLINOIS STATE | Iowa City, Iowa | W 8-7 | HOME_GAME
2024-05-01 | BASEBALL | NORTH DAKOTA STATE | Iowa City, Iowa | L 14-21 | HOME_GAME
2024-05-03 | BASEBALL | NORTHWESTERN | Iowa City, Iowa | W 4-3 | HOME_GAME
2024-05-04 | BASEBALL | NORTHWESTERN | Iowa City, Iowa | W 9-2 | HOME_GAME
2024-05-05 | BASEBALL | NORTHWESTERN | Iowa City, Iowa | W 6-5 | HOME_GAME

# Baseball 2024-25 Season
2025-03-03 | BASEBALL | LORAS | Iowa City, Iowa | W 11-3 | HOME_GAME
2025-03-11 | BASEBALL | AUGUSTANA | Iowa City, Iowa | W 16-1 | HOME_GAME
2025-03-14 | BASEBALL | MICHIGAN STATE | Iowa City, Iowa | L 8-12 | HOME_GAME
2025-03-14 | BASEBALL | MICHIGAN STATE | Iowa City, Iowa | W 7-3 | HOME_GAME
2025-03-15 | BASEBALL | MICHIGAN STATE | Iowa City, Iowa | W 10-0 | HOME_GAME
2025-03-18 | BASEBALL | UIC | Iowa City, Iowa | W 4-1 | HOME_GAME
2025-03-21 | BASEBALL | OHIO STATE | Iowa City, Iowa | W 12-0 | HOME_GAME
2025-03-22 | BASEBALL | OHIO STATE | Iowa City, Iowa | W 12-5 | HOME_GAME
2025-03-23 | BASEBALL | OHIO STATE | Iowa City, Iowa | W 18-2 | HOME_GAME
2025-04-08 | BASEBALL | MILWAUKEE | Iowa City, Iowa | W 11-6 | HOME_GAME
2025-04-11 | BASEBALL | NEBRASKA | Iowa City, Iowa | W 1-0 | HOME_GAME
2025-04-12 | BASEBALL | NEBRASKA | Iowa City, Iowa | W 11-6 | HOME_GAME
2025-04-13 | BASEBALL | NEBRASKA | Iowa City, Iowa | L 4-6 | HOME_GAME
2025-04-16 | BASEBALL | BRADLEY | Iowa City, Iowa | W 12-5 | HOME_GAME
2025-04-22 | BASEBALL | WESTERN ILLINOIS | Iowa City, Iowa | L 3-7 | HOME_GAME
2025-04-23 | BASEBALL | ST. THOMAS | Iowa City, Iowa | W 15-5 | HOME_GAME
2025-04-25 | BASEBALL | INDIANA | Iowa City, Iowa | W 2-1 | HOME_GAME
2025-04-26 | BASEBALL | INDIANA | Iowa City, Iowa | W 13-2 | HOME_GAME
2025-04-27 | BASEBALL | INDIANA | Iowa City, Iowa | W 10-0 | HOME_GAME
2025-04-29 | BASEBALL | ILLINOIS STATE | Iowa City, Iowa | L 5-6 | HOME_GAME
2025-05-15 | BASEBALL | #5 OREGON | Iowa City, Iowa | L 0-10 | HOME_GAME
2025-05-16 | BASEBALL | #5 OREGON | Iowa City, Iowa | L 6-9 | HOME_GAME
2025-05-17 | BASEBALL | #5 OREGON | Iowa City, Iowa | L 4-13 | HOME_GAME

# Football 2020-21 Season
2021-10-31 | FOOTBALL | NORTHWESTERN | Iowa City, Iowa | L 20-21 | HOME_GAME
2021-11-07 | FOOTBALL | MICHIGAN STATE | Iowa City, Iowa | W 49-7 | HOME_GAME
2021-11-27 | FOOTBALL | NEBRASKA | Iowa City, Iowa | W 26-20 | HOME_GAME
2021-12-12 | FOOTBALL | WISCONSIN | Iowa City, Iowa | W 28-7 | HOME_GAME

# Football 2021-22 Season
2021-09-04 | FOOTBALL | #17 INDIANA | Iowa City, Iowa | W 34-6 | HOME_GAME
2021-09-18 | FOOTBALL | KENT STATE | Iowa City, Iowa | W 30-7 | HOME_GAME
2021-09-25 | FOOTBALL | COLORADO STATE | Iowa City, Iowa | W 24-14 | HOME_GAME
2021-10-09 | FOOTBALL | #4 PENN STATE | Iowa City, Iowa | W 23-20 | HOME_GAME
2021-10-16 | FOOTBALL | PURDUE | Iowa City, Iowa | L 7-24 | HOME_GAME
2021-11-13 | FOOTBALL | MINNESOTA | Iowa City, Iowa | W 27-22 | HOME_GAME
2021-11-20 | FOOTBALL | ILLINOIS | Iowa City, Iowa | W 33-23 | HOME_GAME

# Football 2022-23 Season
2022-09-03 | FOOTBALL | SOUTH DAKOTA STATE | Iowa City, Iowa | W 7-3 | HOME_GAME
2022-09-10 | FOOTBALL | IOWA STATE | Iowa City, Iowa | L 7-10 | HOME_GAME
2022-09-17 | FOOTBALL | NEVADA | Iowa City, Iowa | W 27-0 | HOME_GAME
2022-10-01 | FOOTBALL | #4 MICHIGAN | Iowa City, Iowa | L 14-27 | HOME_GAME
2022-10-29 | FOOTBALL | NORTHWESTERN | Iowa City, Iowa | W 33-13 | HOME_GAME
2022-11-12 | FOOTBALL | WISCONSIN | Iowa City, Iowa | W 24-10 | HOME_GAME
2022-11-25 | FOOTBALL | NEBRASKA | Iowa City, Iowa | L 17-24 | HOME_GAME

# Football 2023-24 Season
2023-09-02 | FOOTBALL | UTAH STATE | Iowa City, Iowa | W 24-14 | HOME_GAME
2023-09-16 | FOOTBALL | WESTERN MICHIGAN | Iowa City, Iowa | W 41-10 | HOME_GAME
2023-09-30 | FOOTBALL | MICHIGAN STATE | Iowa City, Iowa | W 26-16 | HOME_GAME
