LotNumber,hour,transactions,time_period
56,1,269,Night
56,2,202,Night
56,3,107,Night
56,4,75,Night
56,5,85,Night
56,6,234,Morning
56,7,1466,Morning
56,8,1812,Morning
56,9,1698,Morning
56,10,2065,Morning
56,11,1488,Morning
56,12,1756,Afternoon
56,13,2784,Afternoon
56,14,1958,Afternoon
56,15,1821,Afternoon
56,16,1693,Afternoon
56,17,1725,Afternoon
56,18,1888,Evening
56,19,2110,Evening
56,20,2280,Evening
56,21,1998,Evening
56,22,1404,Evening
56,23,750,Evening
60,0,103,Night
60,1,83,Night
60,2,80,Night
60,3,131,Night
60,4,520,Night
60,5,478,Night
60,6,1519,Morning
60,7,2833,Morning
60,8,3635,Morning
60,9,3403,Morning
60,10,2890,Morning
60,11,2315,Morning
60,12,2983,Afternoon
60,13,2648,Afternoon
60,14,2194,Afternoon
60,15,2621,Afternoon
60,16,9368,Afternoon
60,17,4936,Afternoon
60,18,4665,Evening
60,19,3176,Evening
60,20,2071,Evening
60,21,740,Evening
60,22,273,Evening
60,23,167,Evening
65,7,4,Morning
65,8,2,Morning
65,9,1,Morning
65,10,1,Morning
65,12,1,Afternoon
70,0,1501,Night
70,1,1185,Night
70,2,1630,Night
70,3,2048,Night
70,4,2752,Night
70,5,9976,Night
70,6,68821,Morning
70,7,29339,Morning
70,8,18311,Morning
70,9,10273,Morning
70,10,10559,Morning
70,11,7897,Morning
70,12,7366,Afternoon
70,13,8348,Afternoon
70,14,30409,Afternoon
70,15,12969,Afternoon
70,16,21997,Afternoon
70,17,17742,Afternoon
70,18,120923,Evening
70,19,9655,Evening
70,20,8745,Evening
70,21,8587,Evening
70,22,26737,Evening
70,23,4066,Evening
80,0,844,Night
80,1,813,Night
80,2,1923,Night
80,3,3610,Night
80,4,9192,Night
80,5,19641,Night
80,6,113144,Morning
80,7,59061,Morning
80,8,30317,Morning
80,9,10441,Morning
80,10,10454,Morning
80,11,11011,Morning
80,12,13534,Afternoon
80,13,17384,Afternoon
80,14,33337,Afternoon
80,15,10921,Afternoon
80,16,9411,Afternoon
80,17,9112,Afternoon
80,18,44865,Evening
80,19,4466,Evening
80,20,4247,Evening
80,21,3510,Evening
80,22,14036,Evening
80,23,1936,Evening
90,0,12,Night
90,1,12,Night
90,2,7,Night
90,3,28,Night
90,4,17,Night
90,5,85,Night
90,6,601,Morning
90,7,1240,Morning
90,8,974,Morning
90,9,313,Morning
90,10,172,Morning
90,11,147,Morning
90,12,130,Afternoon
90,13,224,Afternoon
90,14,285,Afternoon
90,15,66,Afternoon
90,16,47,Afternoon
90,17,39,Afternoon
90,18,81,Evening
90,19,55,Evening
90,20,25,Evening
90,21,23,Evening
90,22,25,Evening
90,23,9,Evening
94,0,3,Night
94,1,4,Night
94,2,5,Night
94,3,6,Night
94,4,4,Night
94,5,4,Night
94,6,29,Morning
94,7,74,Morning
94,8,102,Morning
94,9,28,Morning
94,10,22,Morning
94,11,23,Morning
94,12,44,Afternoon
94,13,25,Afternoon
94,14,16,Afternoon
94,15,10,Afternoon
94,16,10,Afternoon
94,17,2,Afternoon
94,18,4,Evening
94,19,4,Evening
94,20,13,Evening
94,21,6,Evening
94,22,2,Evening
97,0,236,Night
97,1,157,Night
97,2,150,Night
97,3,78,Night
97,4,281,Night
97,5,596,Night
97,6,2184,Morning
97,7,2649,Morning
97,8,4424,Morning
97,9,4813,Morning
97,10,4559,Morning
97,11,3086,Morning
97,12,2846,Afternoon
97,13,3915,Afternoon
97,14,2434,Afternoon
97,15,1358,Afternoon
97,16,573,Afternoon
97,17,824,Afternoon
97,18,393,Evening
97,19,303,Evening
97,20,388,Evening
97,21,297,Evening
97,22,247,Evening
97,23,253,Evening
99,0,340,Night
99,1,360,Night
99,2,380,Night
99,3,430,Night
99,4,399,Night
99,5,1079,Night
99,6,7843,Morning
99,7,13691,Morning
99,8,2304,Morning
99,9,1653,Morning
99,10,1089,Morning
99,11,963,Morning
99,12,1330,Afternoon
99,13,1506,Afternoon
99,14,1003,Afternoon
99,15,824,Afternoon
99,16,764,Afternoon
99,17,596,Afternoon
99,18,688,Evening
99,19,581,Evening
99,20,854,Evening
99,21,709,Evening
99,22,553,Evening
99,23,450,Evening
